ChargePeriodStart,ChargePeriodEnd,ResourceId,BilledCost,ChargeCategory,Tags
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-98780f70-d751-45ce-8ccc-1ff487d3cbeb""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-9d6fefec-fad2-41d5-90cf-81cb51b9fe15""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-bc4e69b8-7542-4519-aa57-d2aca963583f""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-4ef402d5-fb24-41be-b9fd-7f9418e883ca""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-bf669b80-116e-4f20-8f8f-c70ae6acfaa0""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-7ae77efc-f49c-432d-867d-efaaa226945c""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-a62bc100-9e89-4f0c-bcfe-e1c0241ce284""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-40b9e2db-b226-4110-b2e9-a043a5bec828""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-07c4aa1e-1890-481a-87ef-6010d8152085""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-01805236-4589-413f-9efb-3504bec30b56""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-633fde42-860b-45c1-bce9-725eaf9b5478""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-7c022dd2-f247-4711-a55f-ae24a25daf10""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-eb70e617-ab01-42a8-abb1-41e0408b1954""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-f59039ef-26ca-46e2-a787-cb329f04466c""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-e4be2e8a-0f6b-4f00-895d-769a34f53165""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-ee580937-9d7a-4e28-bfa3-352495675716""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-ca14c783-10a6-4f90-891d-0f3e729180f8""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-c75d4ef9-8d8a-4ae8-85ff-60653d85b762""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-f58e0468-8639-4478-b025-aca1d8659a0c""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-603d1cc7-b24d-4c6d-a1d6-6dc5dd87df4b""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-44e0b908-c6ec-468d-9154-8aef69d1cdf9""}"
2025-01-01,2025-01-31,search-query,0.010000,Usage,"{""model"":""model-ec6765f8-384f-43c1-a759-b833c6377f7c""}"
